month,month,year,average_size,zymotic_diseases,wounds_injuries,all_other,type
Apr 1854,4,1854,8571,1,0,5,deaths
May 1854,5,1854,23333,12,0,9,deaths
Jun 1854,6,1854,28333,11,0,6,deaths
Jul 1854,7,1854,28722,359,0,23,deaths
Aug 1854,8,1854,30246,828,1,30,deaths
Sep 1854,9,1854,30290,788,81,70,deaths
Oct 1854,10,1854,30643,503,132,128,deaths
Nov 1854,11,1854,29736,844,287,106,deaths
Dec 1854,12,1854,32779,1725,114,131,deaths
Jan 1855,1,1855,32393,2761,83,324,deaths
Feb 1855,2,1855,30919,2120,42,361,deaths
Mar 1855,3,1855,30107,1205,32,172,deaths
Apr 1855,4,1855,32252,477,48,57,deaths
May 1855,5,1855,35473,508,49,37,deaths
Jun 1855,6,1855,38863,802,209,31,deaths
Jul 1855,7,1855,42647,382,134,33,deaths
Aug_1855,8,1855,44614,483,164,25,deaths
Sep 1855,9,1855,47751,189,276,20,deaths
Oct 1855,10,1855,46852,128,53,18,deaths
Nov 1855,11,1855,37853,178,33,32,deaths
Dec 1855,12,1855,43217,91,18,28,deaths
Jan 1856,1,1856,44212,42,2,48,deaths
Feb 1856,2,1856,43485,24,0,19,deaths
Mar 1856,3,1856,46140,15,0,35,deaths
Apr 1854,4,1854,8571,1.4,0,7,anual_rate_mortality
May 1854,5,1854,23333,6.2,0,4.6,anual_rate_mortality
Jun 1854,6,1854,28333,4.7,0,2.5,anual_rate_mortality
Jul 1854,7,1854,28722,150,0,9.6,anual_rate_mortality
Aug 1854,8,1854,30246,328.5,0.4,11.9,anual_rate_mortality
Sep 1854,9,1854,30290,312.2,32.1,27.7,anual_rate_mortality
Oct 1854,10,1854,30643,197,51.7,50.1,anual_rate_mortality
Nov 1854,11,1854,29736,340.6,115.8,42.8,anual_rate_mortality
Dec 1854,12,1854,32779,631.5,41.7,48,anual_rate_mortality
Jan 1855,1,1855,32393,1022.8,30.7,120,anual_rate_mortality
Feb 1855,2,1855,30919,822.8,16.3,140.1,anual_rate_mortality
Mar 1855,3,1855,30107,480.3,12.8,68.6,anual_rate_mortality
Apr 1855,4,1855,32252,177.5,17.9,21.2,anual_rate_mortality
May 1855,5,1855,35473,171.8,16.6,12.5,anual_rate_mortality
Jun 1855,6,1855,38863,247.6,64.5,9.6,anual_rate_mortality
Jul 1855,7,1855,42647,107.5,37.7,9.3,anual_rate_mortality
Aug_1855,8,1855,44614,129.9,44.1,6.7,anual_rate_mortality
Sep 1855,9,1855,47751,47.5,69.4,5,anual_rate_mortality
Oct 1855,10,1855,46852,32.8,13.6,4.6,anual_rate_mortality
Nov 1855,11,1855,37853,56.4,10.5,10.1,anual_rate_mortality
Dec 1855,12,1855,43217,25.3,5,7.8,anual_rate_mortality
Jan 1856,1,1856,44212,11.4,0.5,13,anual_rate_mortality
Feb 1856,2,1856,43485,6.6,0,5.2,anual_rate_mortality
Mar 1856,3,1856,46140,3.9,0,9.1,anual_rate_mortality
